_id,name,sanitizedName,bio
64cc2db4830ba29148da4c56,Kathleen Duey,kathleenduey,
64cc2db4830ba29148da4c5a,Michael Crichton,michaelcrichton,"John Michael Crichton (; October 23, 1942 – November 4, 2008) was an American writer and filmmaker. His books have sold over 200 million copies worldwide, and over a dozen have been adapted into films. His literary works heavily feature technology and are usually within the science fiction, techno-thriller, and medical fiction genres. Crichton’s novels often explore human technological advancement and attempted dominance over nature, both with frequently catastrophic results; many of his works are cautionary tales, especially regarding themes of biotechnology. Several of his stories center specifically around themes of genetic modification, hybridization, paleontology and/or zoology. Many feature medical or scientific underpinnings, reflective of his own medical training and scientific background.\nCrichton received an M.D. from Harvard Medical School in 1969 but did not practice medicine, choosing to focus on his writing instead. Initially writing under a pseudonym, he eventually wrote 26 novels, including: The Andromeda Strain (1969), The Terminal Man (1972), The Great Train Robbery (1975), Congo (1980), Sphere (1987), Jurassic Park (1990), Rising Sun (1992), Disclosure (1994), The Lost World (1995), Airframe (1996), Timeline (1999), Prey (2002), State of Fear (2004), and Next (2006). Several novels, in various states of completion, were published after his death in 2008.\nCrichton was also involved in the film and television industry. In 1973, he wrote and directed Westworld, the first film to utilize 2D computer-generated imagery. He also directed Coma (1978), The First Great Train Robbery (1978), Looker (1981), and Runaway (1984). He was the creator of the famed television series ER (1994–2009), and several of his novels were adapted into films, most notably the Jurassic Park franchise."
64cc2db4830ba29148da4c5b,C.S. Lewis,cslewis,"Clive Staples Lewis,  (29 November 1898 – 22 November 1963) was a British writer, literary scholar, and Anglican lay theologian. He held academic positions in English literature at both Oxford University (Magdalen College, 1925–1954) and Cambridge University (Magdalene College, 1954–1963). He is best known as the author of The Chronicles of Narnia, but he is also noted for his other works of fiction, such as The Screwtape Letters and The Space Trilogy, and for his non-fiction Christian apologetics, including Mere Christianity, Miracles, and The Problem of Pain.\nLewis was a close friend of J. R. R. Tolkien, author of The Lord of the Rings. Both men served on the English faculty at Oxford University and were active in the informal Oxford literary group known as the Inklings. According to Lewis's 1955 memoir Surprised by Joy, he was baptized in the Church of Ireland but fell away from his faith during adolescence. Lewis returned to Anglicanism at the age of 32, owing to the influence of Tolkien and other friends, and he became an ""ordinary layman of the Church of England"". Lewis's faith profoundly affected his work, and his wartime radio broadcasts on the subject of Christianity brought him wide acclaim.\nLewis wrote more than 30 books which have been translated into more than 30 languages and have sold millions of copies. The books that make up The Chronicles of Narnia have sold the most and have been popularized on stage, TV, radio, and cinema. His philosophical writings are widely cited by Christian scholars from many denominations.\nIn 1956, Lewis married American writer Joy Davidman; she died of cancer four years later at the age of 45. Lewis died on 22 November 1963 from kidney failure, one week before his 65th birthday. In 2013, on the 50th anniversary of his death, Lewis was honoured with a memorial in Poets' Corner in Westminster Abbey."
64cc2db4830ba29148da4c5f,Eleanor Cooney,eleanorcooney,
64cc2db4830ba29148da4c60,Daniel Altieri,danielaltieri,
64cc2db4830ba29148da4c62,Richard North Patterson,richardnorthpatterson,"Richard North Patterson (born February 22, 1947, in Berkeley, California) is an American fiction writer, attorney and political commentator."
64cc2db4830ba29148da4c64,Harper Lee,harperlee,"Nelle Harper Lee (April 28, 1926 – February 19, 2016) was an American novelist who wrote the 1960 novel To Kill a Mockingbird that won the 1961 Pulitzer Prize and became a classic of modern American literature. She assisted her close friend Truman Capote in his research for the book In Cold Blood (1966). Her second novel, Go Set a Watchman, has been confirmed to be an earlier draft of Mockingbird but was published in July 2015 as a sequel.The plot and characters of To Kill a Mockingbird are loosely based on Lee's observations of her family and neighbors in Monroeville, Alabama, as well as a childhood event that occurred near her hometown in 1936. The novel deals with racist attitudes, the irrationality of adult attitudes towards race and class in the Deep South of the 1930s, as depicted through the eyes of two children.\nLee received numerous accolades and honorary degrees, including the Presidential Medal of Freedom in 2007, which was awarded for her contribution to literature."
64cc2db4830ba29148da4c66,Barbara Kingsolver,barbarakingsolver,"Barbara Kingsolver (born April 8, 1955) is a Pulitzer Prize winning American novelist, essayist and poet. Her widely known works include The Poisonwood Bible, the tale of a missionary family in the Congo, and Animal, Vegetable, Miracle, a non-fiction account of her family's attempts to eat locally. In 2023, she was awarded the Pulitzer Prize for Fiction for the novel Demon Copperhead. Her work often focuses on topics such as social justice, biodiversity and the interaction between humans and their communities and environments.\nKingsolver has received numerous awards, including the Dayton Literary Peace Prize's Richard C. Holbrooke Distinguished Achievement Award 2011, UK's Orange Prize for Fiction 2010, for The Lacuna, and the National Humanities Medal. After winning for The Lacuna in 2010 and Demon Copperhead in 2023, Kingsolver became the first author to win the Women's Prize for Fiction twice. Each of her books published since 1993 has been on the New York Times Best Seller list.Kingsolver was raised in rural Kentucky and lived briefly in the Congo in her early childhood. She earned degrees in biology at DePauw University and the University of Arizona and worked as a freelance writer before she began writing novels. In 2000, Kingsolver established the Bellwether Prize to support ""literature of social change""."
64cc2db4830ba29148da4c68,Jane Austen,janeausten,"Jane Austen (; 16 December 1775 – 18 July 1817) was an English novelist known primarily for her six major novels, which implicitly interpret, critique, and comment upon the British landed gentry at the end of the 18th century. Austen's plots often explore the dependence of women on marriage for the pursuit of favourable social standing and economic security. Her works are an implicit critique of the novels of sensibility of the second half of the 18th century and are part of the transition to 19th-century literary realism. Her deft use of social commentary, realism and biting irony have earned her acclaim among critics and scholars.\nThe anonymously published Sense and Sensibility (1811),  Pride and Prejudice (1813), Mansfield Park (1814), and Emma (1815), were a modest success but brought her little fame in her lifetime. She wrote two other novels—Northanger Abbey and Persuasion, both published posthumously in 1818—and began another, eventually titled Sanditon, but died before its completion. She also left behind three volumes of juvenile writings in manuscript, the short epistolary novel Lady Susan, and the unfinished novel The Watsons.\nAusten's status grew after her death; her six full-length novels have rarely been out of print since. A significant transition in her reputation occurred in 1833, when her novels were republished in Richard Bentley's Standard Novels series (illustrated by Ferdinand Pickering and sold as a set). They gradually gained wide acclaim and popular readership. In 1869, fifty-two years after her death, her nephew's publication of A Memoir of Jane Austen introduced a compelling version of her writing career and supposedly uneventful life to an eager audience. \nHer work has inspired a large number of critical essays and has been included in many literary anthologies. Her novels have also inspired many films, including 1940's Pride and Prejudice, 1995's Sense and Sensibility and  2016's Love & Friendship."
64cc2db4830ba29148da4c6b,Dean Koontz,deankoontz,"Dean Ray Koontz (born July 9, 1945) is an American author. His novels are billed as suspense thrillers, but frequently incorporate elements of horror, fantasy, science fiction, mystery, and satire. Many of his books have appeared on The New York Times Best Seller list, with fourteen hardcovers and sixteen paperbacks reaching the number-one position. Koontz wrote under a number of pen names earlier in his career, including ""David Axton"", ""Deanna Dwyer"", ""K.R. Dwyer"", ""Leigh Nichols"" and ""Brian Coffey"". He has published over 105 novels and a number of novellas and collections of short stories, and has sold over 450 million copies of his work.\n\n"
64cc2db4830ba29148da4c6c,Mary Higgins Clark,maryhigginsclark,"Mary Higgins Clark (born Mary Theresa Eleanor Higgins; December 24, 1927 – January 31, 2020) was an American author of suspense novels. Each of her 51 books was a bestseller in the United States and various European countries, and all of her novels remained in print as of 2015, with her debut suspense novel, Where Are the Children?, in its seventy-fifth printing.\nHiggins Clark began writing at an early age. After several years working as a secretary and copy editor, she spent a year as a stewardess for Pan-American Airlines before leaving her job to marry and start a family. She supplemented the family's income by writing short stories. After her husband died in 1964, Higgins Clark worked for many years writing four-minute radio scripts until her agent persuaded her to try writing novels. Her debut novel, a fictionalized account of the life of George Washington, did not sell well, and she decided to exploit her love of mystery/suspense novels. Her suspense novels became very popular, and have sold more than 100 million copies in the United States alone. Her former daughter-in-law Mary Jane Clark is also a writer, as was her daughter Carol Higgins Clark."
64cc2db4830ba29148da4c6d,Patricia Cornwell,patriciacornwell,"Patricia Cornwell (born Patricia Carroll Daniels; June 9, 1956) is an American crime writer. She is known for her best-selling novels featuring medical examiner Kay Scarpetta, of which the first was inspired by a series of sensational murders in Richmond, Virginia, where most of the stories are set. The plots are notable for their emphasis on forensic science, which has influenced later TV treatments of police work. Cornwell has also initiated new research into the Jack the Ripper killings, incriminating the popular British artist Walter Sickert. Her books have sold more than 100 million copies.\n\n"
64cc2db4830ba29148da4c6e,J. D. Robb,jdrobb,"Nora Roberts (born Eleanor Marie Robertson on October 10, 1950) is an American author of over 225 romance novels. She writes as J. D. Robb, Jill March and (in the U.K.) Sarah Hardesty.\nRoberts was the first author to be inducted into the Romance Writers of America Hall of Fame. As of 2011, her novels had spent a combined 861 weeks on The New York Times Best Seller list, including 176 weeks in the number-one spot."
64cc2db4830ba29148da4c6f,Maeve Binchy,maevebinchy,"Anne Maeve Binchy Snell (28 May 1939 – 30 July 2012) was an Irish novelist, playwright, short story writer, columnist, and speaker. Her novels were characterised by a sympathetic and often humorous portrayal of small-town life in Ireland, and surprise endings. Her novels, which were translated into 37 languages, sold more than 40 million copies worldwide. Her death at age 73, announced by Vincent Browne on Irish television late on 30 July 2012, was mourned as the death of one of Ireland's best-loved and most recognisable writers.She appeared in the US market, featuring on The New York Times best-seller list and in Oprah's Book Club. Recognised for her ""total absence of malice"" and generosity to other writers, she finished third in a 2000 poll for World Book Day, ahead of Jane Austen, Charles Dickens, and Stephen King.\n\n"
64cc2db4830ba29148da4c71,Tim LaHaye,timlahaye,"Timothy Francis LaHaye (April 27, 1926 – July 25, 2016) was an American Baptist evangelical Christian minister who wrote more than 85 books, both fiction and non-fiction, including the Left Behind series of apocalyptic fiction, which he co-authored with Jerry B. Jenkins. He was a founder of the Council for National Policy, a Conservative Christian advocacy group. LaHaye strongly opposed homosexuality, believing it to be immoral and unbiblical. He was a harsh critic of Roman Catholicism, and a strong believer in conspiracy theories regarding the Illuminati."
64cc2db4830ba29148da4c72,Jerry B. Jenkins,jerrybjenkins,"Jerry Bruce Jenkins (born September 23, 1949) is an American writer. He is best known for the Left Behind series, written with Tim LaHaye. Jenkins has written more than 200 books, in multiple genres, such as biography, self-help, romance, mystery, and young adult fiction. Nineteen of his 130+ novels have explored eschatological themes and settings.\nIn 2016, Jenkins was described as a dispensationalist Christian by The Washington Post."
64cc2db4830ba29148da4c74,Robert Penn Warren,robertpennwarren,"Robert Penn Warren (April 24, 1905 – September 15, 1989) was an American poet, novelist, and literary critic and was one of the founders of New Criticism. He was also a charter member of the Fellowship of Southern Writers. He founded the literary journal The Southern Review with Cleanth Brooks in 1935. He received the 1947 Pulitzer Prize for the Novel for All the King's Men (1946) and the Pulitzer Prize for Poetry in 1958 and 1979. He is the only person to have won Pulitzer Prizes for both fiction and poetry."
64cc2db4830ba29148da4c7e,Larry McMurtry,larrymcmurtry,"Larry Jeff McMurtry (June 3, 1936 – March 25, 2021) was an American novelist, essayist, prominent book collector, bookseller and screenwriter whose work was predominantly set in either the Old West or contemporary Texas. His novels included Horseman, Pass By (1962), The Last Picture Show (1966), and Terms of Endearment (1975), which were adapted into films. Films adapted from McMurtry's works earned 34 Oscar nominations (13 wins).\nHis 1985 Pulitzer Prize-winning novel Lonesome Dove was adapted into a television miniseries that earned 18 Emmy Award nominations (seven wins). The subsequent three novels in his Lonesome Dove series were adapted as three more miniseries, earning eight more Emmy nominations. McMurtry and cowriter Diana Ossana adapted the screenplay for Brokeback Mountain (2005), which earned eight Academy Award nominations with three wins, including McMurtry and Ossana for Best Adapted Screenplay. In 2014, McMurtry received the National Humanities Medal."
64cc2db4830ba29148da4c81,Carl Sagan,carlsagan,"Carl Edward Sagan (; SAY-gən; November 9, 1934 – December 20, 1996) was an American astronomer, planetary scientist, cosmologist, astrophysicist, astrobiologist, science communicator, author, and professor. His best known scientific contribution is his research on the possibility of extraterrestrial life, including experimental demonstration of the production of amino acids from basic chemicals by radiation. He assembled the first physical messages sent into space, the Pioneer plaque and the Voyager Golden Record, which were universal messages that could potentially be understood by any extraterrestrial intelligence that might find them. He argued in favor of the hypothesis, which has since been accepted, that the high surface temperatures of Venus are the result of the greenhouse effect.Initially an assistant professor at Harvard, Sagan later moved to Cornell, where he spent most of his career. He published more than 600 scientific papers and articles and was author, co-author or editor of more than 20 books. He wrote many popular science books, such as The Dragons of Eden, Broca's Brain, and Pale Blue Dot. He also co-wrote and narrated the award-winning 1980 television series Cosmos: A Personal Voyage, which became the most widely watched series in the history of American public television: Cosmos has been seen by at least 500 million people in 60 countries. A book, also called Cosmos, was published to accompany the series. Sagan also wrote a science-fiction novel, published in 1985, called Contact, which became the basis for a 1997 film of the same name. His papers, comprising 595,000 items, are archived in the Library of Congress.Sagan was a popular public advocate of skeptical scientific inquiry and the scientific method; he pioneered the field of exobiology and promoted the search for extra-terrestrial intelligent life (SETI). He spent most of his career as a professor of astronomy at Cornell University, where he directed the Laboratory for Planetary Studies. Sagan and his works received numerous awards and honors, including the NASA Distinguished Public Service Medal, the National Academy of Sciences Public Welfare Medal, the Pulitzer Prize for General Non-Fiction (for his book The Dragons of Eden), and (for Cosmos: A Personal Voyage), two Emmy Awards, the Peabody Award, and the Hugo Award. He married three times and had five children. After developing myelodysplasia, Sagan died of pneumonia at the age of 62 on December 20, 1996."
64cc2db4830ba29148da4c83,Anne Tyler,annetyler,"Anne Tyler (born October 25, 1941) is an American novelist, short story writer, and literary critic.  She has published twenty-four novels, including Dinner at the Homesick Restaurant (1982), The Accidental Tourist (1985), and Breathing Lessons (1988).  All three were finalists for the Pulitzer Prize for Fiction, and Breathing Lessons won the prize in 1989.  She has also won the Janet Heidinger Kafka Prize, the Ambassador Book Award, and the National Book Critics Circle Award.  In 2012 she was awarded The Sunday Times Award for Literary Excellence.  Tyler's twentieth novel, A Spool of Blue Thread, was shortlisted for the Man Booker Prize in 2015, and Redhead By the Side of the Road was longlisted for the same award in 2020. \nShe is recognized for her fully developed characters, her ""brilliantly imagined and absolutely accurate detail"", her ""rigorous and artful style"", and her ""astute and open language.""Tyler has been compared to John Updike, Jane Austen, and Eudora Welty, among others."
64cc2db4830ba29148da4c84,Joseph Conrad,josephconrad,"Joseph Conrad (born Józef Teodor Konrad Korzeniowski, Polish: [ˈjuzɛf tɛˈɔdɔr ˈkɔnrat kɔʐɛˈɲɔfskʲi] (listen); 3 December 1857 – 3 August 1924) was a Polish-British novelist and short story writer. He is regarded as one of the greatest writers in the English language; though he did not speak English fluently until his twenties, he came to be regarded a master prose stylist who brought a non-English sensibility into English literature. He wrote novels and stories, many in nautical settings, that depict crises of human individuality in the midst of what he saw as an indifferent, inscrutable and amoral world.Conrad is considered a literary impressionist by some and an early modernist by others, though his works also contain elements of 19th-century realism. His narrative style and anti-heroic characters, as in Lord Jim, for example, have influenced numerous authors. Many dramatic films have been adapted from and inspired by his works. Numerous writers and critics have commented that his fictional works, written largely in the first two decades of the 20th century, seem to have anticipated later world events.Writing near the peak of the British Empire, Conrad drew on the national experiences of his native Poland—during nearly all his life, parceled out among three occupying empires—and on his own experiences in the French and British merchant navies, to create short stories and novels that reflect aspects of a European-dominated world—including imperialism and colonialism—and that profoundly explore the human psyche. Postcolonial analysis of Conrad's work has stimulated substantial debate; in 1975, author Chinua Achebe published an article denouncing Heart of Darkness as racist and dehumanising, whereas other scholars, including Adam Hochschild and Peter Edgerly Firchow, have rebutted Achebe's view."
64cc2db4830ba29148da4c85,Deepak Chopra,deepakchopra,"Deepak Chopra (; Hindi: [diːpək tʃoːpɽa]; born October 22, 1946) is an Indian-American author and alternative medicine advocate. A prominent figure in the New Age movement, his books and videos have made him one of the best-known and wealthiest figures in alternative medicine. His discussions of quantum healing have been characterised as technobabble – ""incoherent babbling strewn with scientific terms"" which drives those who actually understand physics ""crazy"" and as ""redefining Wrong"".Chopra studied medicine in India before emigrating in 1970 to the United States, where he completed a residency in internal medicine and a fellowship in endocrinology. As a licensed physician, in 1980 he became chief of staff at the New England Memorial Hospital (NEMH). In 1985, he met Maharishi Mahesh Yogi and became involved in the Transcendental Meditation (TM) movement. Shortly thereafter, Chopra resigned his position at NEMH to establish the Maharishi Ayurveda Health Center. In 1993, Chopra gained a following after he was interviewed about his books on The Oprah Winfrey Show. He then left the TM movement to become the executive director of Sharp HealthCare's Center for Mind-Body Medicine. In 1996, he co-founded the Chopra Center for Wellbeing.Chopra claims that a person may attain ""perfect health"", a condition ""that is free from disease, that never feels pain"", and ""that cannot age or die"". Seeing the human body as undergirded by a ""quantum mechanical body"" composed not of matter but energy and information, he believes that ""human aging is fluid and changeable; it can speed up, slow down, stop for a time, and even reverse itself"", as determined by one's state of mind. He claims that his practices can also treat chronic disease.The ideas Chopra promotes have regularly been criticized by medical and scientific professionals as pseudoscience. The criticism has been described as ranging ""from the dismissive to...damning"". Philosopher Robert Carroll writes that Chopra, to justify his teachings, attempts to integrate Ayurveda with quantum mechanics. Chopra says that what he calls ""quantum healing"" cures any manner of ailments, including cancer, through effects that he claims are literally based on the same principles as quantum mechanics. This has led physicists to object to his use of the term ""quantum"" in reference to medical conditions and the human body. Evolutionary biologist Richard Dawkins has said that Chopra uses ""quantum jargon as plausible-sounding hocus pocus"". Chopra's treatments generally elicit nothing but a placebo response, and they have drawn criticism that the unwarranted claims made for them may raise ""false hope"" and lure sick people away from legitimate medical treatments."
64cc2db4830ba29148da4c87,Thomas Hardy,thomashardy,"Thomas Hardy  (2 June 1840 – 11 January 1928) was an English novelist and poet. A Victorian realist in the tradition of George Eliot, he was influenced both in his novels and in his poetry by Romanticism, including the poetry of William Wordsworth. He was highly critical of much in Victorian society, especially on the declining status of rural people in Britain, such as those from his native South West England.\nWhile Hardy wrote poetry throughout his life and regarded himself primarily as a poet, his first collection was not published until 1898. Initially, he gained fame as the author of novels such as Far from the Madding Crowd (1874), The Mayor of Casterbridge (1886), Tess of the d'Urbervilles (1891), and Jude the Obscure (1895). During his lifetime, Hardy's poetry was acclaimed by younger poets (particularly the Georgians) who viewed him as a mentor. After his death his poems were lauded by Ezra Pound, W. H. Auden and Philip Larkin.Many of his novels concern tragic characters struggling against their passions and social circumstances, and they are often set in the semi-fictional region of Wessex; initially based on the medieval Anglo-Saxon kingdom, Hardy's Wessex eventually came to include the counties of Dorset, Wiltshire, Somerset, Devon, Hampshire and much of Berkshire, in southwest and south central England. Two of his novels, Tess of the d'Urbervilles and Far from the Madding Crowd, were listed in the top 50 on the BBC's survey The Big Read."
64cc2db4830ba29148da4c8a,Benjamin Hoff,benjaminhoff,"Benjamin Hoff (born 1946) is an American author. He is best known as the author of The Tao of Pooh (1982) and The Te of Piglet (1992). In 2006, he denounced the publishing industry and announced his resignation from book-writing. His book, The Singing Creek Where the Willows Grow, won the American Book Award in 1988."
64cc2db4830ba29148da4c8d,Robert A. Heinlein,robertaheinlein,"Robert Anson Heinlein (; July 7, 1907 – May 8, 1988) was an American science fiction author, aeronautical engineer, and naval officer. Sometimes called the ""dean of science fiction writers"", he was among the first to emphasize scientific accuracy in his fiction, and was thus a pioneer of the subgenre of hard science fiction. His published works, both fiction and non-fiction, express admiration for competence and emphasize the value of critical thinking. His plots often posed provocative situations which challenged conventional social mores. His work continues to have an influence on the science-fiction genre, and on modern culture more generally.\nHeinlein became one of the first American science-fiction writers to break into mainstream magazines such as The Saturday Evening Post in the late 1940s. He was one of the best-selling science-fiction novelists for many decades, and he, Isaac Asimov, and Arthur C. Clarke are often considered the ""Big Three"" of English-language science fiction authors. Notable Heinlein works include Stranger in a Strange Land, Starship Troopers (which helped mold the space marine and mecha archetypes) and The Moon Is a Harsh Mistress. His work sometimes had controversial aspects, such as plural marriage in The Moon Is a Harsh Mistress, militarism in Starship Troopers and technologically competent women characters who were formidable, yet often stereotypically feminine—such as Friday.\nA writer also of many science-fiction short stories, Heinlein was one of a group of writers who came to prominence under the editorship (1937–1971) of John W. Campbell at Astounding Science Fiction magazine, though Heinlein denied that Campbell influenced his writing to any great degree.\nHeinlein used his science fiction as a way to explore provocative social and political ideas and to speculate how progress in science and engineering might shape the future of politics, race, religion, and sex.\nWithin the framework of his science-fiction stories, Heinlein repeatedly addressed certain social themes: the importance of individual liberty and self-reliance, the nature of sexual relationships, the obligation individuals owe to their societies, the influence of organized religion on culture and government, and the tendency of society to repress nonconformist thought. He also speculated on the influence of space travel on human cultural practices.\nHeinlein was named the first Science Fiction Writers Grand Master in 1974. Four of his novels won Hugo Awards. In addition, fifty years after publication, seven of his works were awarded ""Retro Hugos""—awards given retrospectively for works that were published before the Hugo Awards came into existence. In his fiction, Heinlein coined terms that have become part of the English language, including grok, waldo and speculative fiction, as well as popularizing existing terms like ""TANSTAAFL"", ""pay it forward"", and ""space marine"". He also anticipated mechanical computer-aided design with ""Drafting Dan"" and described a modern version of a waterbed in his novel Beyond This Horizon.Several of Heinlein's works have been adapted for film and television."
64cc2db4830ba29148da4c8e,Philip Pullman,philippullman,"Sir Philip Nicholas Outram Pullman  (born 19 October 1946) is an English writer. His books include the fantasy trilogy His Dark Materials and The Good Man Jesus and the Scoundrel Christ, a fictionalised biography of Jesus. In 2008, The Times named Pullman one of the ""50 greatest British writers since 1945"". In a 2004 BBC poll, he was named the eleventh most influential person in British culture. He was knighted in the 2019 New Year Honours for services to literature.Northern Lights, the first volume in His Dark Materials, won the 1995 Carnegie Medal of the Library Association as the year's outstanding English-language children's book. For the Carnegie's 70th anniversary, it was named in the top ten by a panel tasked with compiling a shortlist for a public vote for an all-time favourite. It won that public vote and was named all-time ""Carnegie of Carnegies"" in June 2007. It was filmed under the book's US title, The Golden Compass. In 2003, His Dark Materials trilogy ranked third in the BBC's The Big Read, a poll of 200 top novels voted by the British public."
64cc2db4830ba29148da4c8f,Anna Sewell,annasewell,"Anna Sewell (; 30 March 1820 – 25 April 1878) was an English novelist. She is known as the author of the 1877 novel Black Beauty, her only published work, which is considered one of the top ten best-selling novels for children, although the author intended the work for an adult audience. Sewell died only five months after Black Beauty's publication, having lived long enough to see her only novel become a success."
64cc2db4830ba29148da4c92,P. J. O'Rourke,pjorourke,"Patrick Jake O'Rourke (November 14, 1947 – February 15, 2022) was an American political satirist and journalist. O'Rourke was the H. L. Mencken Research Fellow at the libertarian Cato Institute and a regular correspondent for The Atlantic Monthly, The American Spectator, and The Weekly Standard, and frequent panelist on National Public Radio's game show Wait Wait... Don't Tell Me! He was a columnist at The Daily Beast from 2011 to 2016.He authored more than 20 books, the best known of which is Holidays in Hell, about his visits to war zones as a foreign correspondent. Three of his books made The New York Times Best Seller list. The Forbes Media Guide Five Hundred, 1994 states, ""O'Rourke's original reporting, irreverent humour, and crackerjack writing makes for delectable reading. He never minces words or pulls his punches, whatever the subject."""
